"id"	"trait"	"sample_size"	"nsnp"	"year"	"consortium"	"author"	"note"	"access"	"mr"	"sex"	"pmid"	"priority"	"population"	"unit"	"category"	"subcategory"	"ncase"	"ncontrol"	"sd"	"ukbbid"
"ukb-b-19732"	"Non-cancer illness code, self-reported: hypothyroidism/myxoedema"	462933	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"20002#1226: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Binary"	"NA"	22687	440246	NA	"20002#1226"
"ukb-b-12566"	"Vegetable pieces intake"	64949	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"104070: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Categorical Ordered"	"NA"	NA	NA	NA	"104070"
"ukb-b-13764"	"Long-standing illness, disability or infirmity"	451893	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"2188: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Binary"	"NA"	147104	304789	NA	"2188"
"ukb-b-588"	"Cucumber intake"	64949	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"104210: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Categorical Ordered"	"NA"	NA	NA	NA	"104210"
"ukb-b-5251"	"Diagnoses - secondary ICD10: L03.1 Cellulitis of other parts of limb"	463010	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"41204#L031: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Binary"	"NA"	1195	461815	NA	"41204#L031"
"ukb-b-11972"	"Diagnoses - secondary ICD10: R53 Malaise and fatigue"	463010	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"41204#R53: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Binary"	"NA"	1245	461765	NA	"41204#R53"
"ukb-b-4206"	"Age when last used oral contraceptive pill"	180068	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"2804: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Continuous"	"NA"	NA	NA	NA	"2804"
"ukb-b-6906"	"Non-cancer illness code, self-reported: mania/bipolar disorder/manic depression"	462933	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"20002#1291: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Binary"	"NA"	1307	461626	NA	"20002#1291"
"ukb-b-10880"	"Diagnoses - secondary ICD10: Z87.4 Personal history of diseases of the genito-urinary system"	463010	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"41204#Z874: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Binary"	"NA"	4538	458472	NA	"41204#Z874"
"ukb-b-18138"	"Operation code: coronary angiogram"	462933	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"20004#1514: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Binary"	"NA"	3071	459862	NA	"20004#1514"
"ukb-b-5192"	"Time spent watching television (TV)"	437887	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"1070: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Categorical Ordered"	"NA"	NA	NA	NA	"1070"
"ukb-b-14461"	"Maximum heart rate during fitness test"	68409	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"6033: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Continuous"	"NA"	NA	NA	NA	"6033"
"ukb-b-8727"	"Age at last live birth"	170248	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"2764: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Continuous"	"NA"	NA	NA	NA	"2764"
"ukb-b-3828"	"Types of spread used on bread/crackers: Normal fat polyunsaturated margarine on bread/crackers"	64949	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"20087#173: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Binary"	"NA"	2337	62612	NA	"20087#173"
"ukb-b-9787"	"Total errors traversing numeric path (trail #1)"	25044	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"20247: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Categorical Ordered"	"NA"	NA	NA	NA	"20247"
"ukb-b-12508"	"PCT responsible for patient data: HOUNSLOW PCT"	463010	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"41229#5HY: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Binary"	"NA"	1608	461402	NA	"41229#5HY"
"ukb-b-5474"	"Vitamin and/or mineral supplement use: Vitamin B12"	64949	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"20084#477: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Binary"	"NA"	1330	63619	NA	"20084#477"
"ukb-b-4277"	"Savoury snack consumers"	64949	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"102400: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Binary"	"NA"	23148	41801	NA	"102400"
"ukb-b-3196"	"Leg pain when walking uphill or hurrying"	32192	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"5474: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Binary"	"NA"	22350	9842	NA	"5474"
"ukb-b-14162"	"PCT where patients GP was registered: KIRKLEES PCT"	463010	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"41230#5N2: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Binary"	"NA"	2290	460720	NA	"41230#5N2"
"ukb-b-5436"	"Loud music exposure frequency"	150898	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"4836: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Categorical Ordered"	"NA"	NA	NA	NA	"4836"
"ukb-b-7278"	"Operative procedures - main OPCS: T20.2 Primary repair of inguinal hernia using insert of prosthetic material"	463010	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"41200#T202: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Binary"	"NA"	10809	452201	NA	"41200#T202"
"ukb-b-8694"	"PCT responsible for patient data: CALDERDALE PCT"	463010	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"41229#5J6: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Binary"	"NA"	1162	461848	NA	"41229#5J6"
"ukb-b-3169"	"Number of vehicles in household"	459696	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"728: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Categorical Ordered"	"NA"	NA	NA	NA	"728"
"ukb-b-15671"	"PCT where patients GP was registered: BRISTOL PCT"	463010	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"41230#5QJ: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Binary"	"NA"	6263	456747	NA	"41230#5QJ"
"ukb-b-19756"	"Time employed in main current job"	249516	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"757: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Continuous"	"NA"	NA	NA	NA	"757"
"ukb-b-13520"	"Orange intake"	64949	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"104530: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Categorical Ordered"	"NA"	NA	NA	NA	"104530"
"ukb-b-4233"	"PCT where patients GP was registered: NORTH EASTERN DERBYSHIRE PCT"	463010	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"41230#5EG: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Binary"	"NA"	1290	461720	NA	"41230#5EG"
"ukb-b-11842"	"Weight"	461632	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"21002: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Continuous"	"NA"	NA	NA	NA	"21002"
"ukb-b-12165"	"ECG, load"	68240	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"5984: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Continuous"	"NA"	NA	NA	NA	"5984"
"ukb-b-10831"	"Pack years of smoking"	142387	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"20161: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Continuous"	"NA"	NA	NA	NA	"20161"
"ukb-b-4455"	"Operative procedures - secondary OPCS: Y76.7 Arthroscopic approach to joint"	463010	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"41210#Y767: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Binary"	"NA"	3712	459298	NA	"41210#Y767"
"ukb-b-4880"	"Treatment/medication code: garlic product"	462933	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"20003#1140911732: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Binary"	"NA"	6151	456782	NA	"20003#1140911732"
"ukb-b-18023"	"Diagnoses - secondary ICD10: Z87.3 Personal history of diseases of the musculoskeletal system and connective tissue"	463010	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"41204#Z873: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Binary"	"NA"	1285	461725	NA	"41204#Z873"
"ukb-b-11697"	"Intake of sugar added to cereal"	64949	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"100900: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Categorical Ordered"	"NA"	NA	NA	NA	"100900"
"ukb-b-6246"	"Bread roll intake"	64940	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"101160: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Categorical Ordered"	"NA"	NA	NA	NA	"101160"
"ukb-b-11582"	"Diagnoses - main ICD10: K62.5 Haemorrhage of anus and rectum"	463010	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"41202#K625: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Binary"	"NA"	9579	453431	NA	"41202#K625"
"ukb-b-16026"	"Duration to complete numeric path (trail #1)"	99479	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"20156: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Continuous"	"NA"	NA	NA	NA	"20156"
"ukb-b-4956"	"Morning/evening person (chronotype)"	413343	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"1180: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Categorical Ordered"	"NA"	NA	NA	NA	"1180"
"ukb-b-8089"	"Cooked vegetable intake"	448651	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"1289: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Categorical Ordered"	"NA"	NA	NA	NA	"1289"
"ukb-b-7444"	"Diagnoses - main ICD10: I84.8 Unspecified haemorrhoids with other complications"	463010	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"41202#I848: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Binary"	"NA"	2321	460689	NA	"41202#I848"
"ukb-b-1539"	"PCT where patients GP was registered: BROXTOWE AND HUCKNALL PCT"	463010	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"41230#5EV: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Binary"	"NA"	2121	460889	NA	"41230#5EV"
"ukb-b-2393"	"Never eat eggs, dairy, wheat, sugar: I eat all of the above"	461046	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"6144#5: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Binary"	"NA"	355835	105211	NA	"6144#5"
"ukb-b-12913"	"Operative procedures - secondary OPCS: Z49.3 Skin of anterior trunk"	463010	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"41210#Z493: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Binary"	"NA"	3551	459459	NA	"41210#Z493"
"ukb-b-6019"	"Number of cigarettes previously smoked daily"	108946	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"2887: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Categorical Ordered"	"NA"	NA	NA	NA	"2887"
"ukb-b-16677"	"6mm cylindrical power (right)"	84303	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"5117: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Continuous"	"NA"	NA	NA	NA	"5117"
"ukb-b-17532"	"Diagnoses - secondary ICD10: E14.9 Without complications"	463010	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"41204#E149: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Binary"	"NA"	1305	461705	NA	"41204#E149"
"ukb-b-686"	"Diagnoses - main ICD10: K35.9 Acute appendicitis, unspecified"	463010	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"41202#K359: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Binary"	"NA"	1568	461442	NA	"41202#K359"
"ukb-b-9790"	"Treatment/medication code: cod liver oil capsule"	462933	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"20003#1140909674: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Binary"	"NA"	26512	436421	NA	"20003#1140909674"
"ukb-b-3798"	"Fractured bone site(s): Leg"	460340	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"6151#2: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Binary"	"NA"	2988	457352	NA	"6151#2"
"ukb-b-1806"	"Number of symbol digit matches attempted"	113106	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"20195: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Continuous"	"NA"	NA	NA	NA	"20195"
"ukb-b-4081"	"Operative procedures - main OPCS: F09.3 Surgical removal of wisdom tooth NEC"	463010	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"41200#F093: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Binary"	"NA"	1052	461958	NA	"41200#F093"
"ukb-b-14157"	"Operative procedures - main OPCS: W28.3 Removal of internal fixation from bone NEC"	463010	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"41200#W283: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Binary"	"NA"	3589	459421	NA	"41200#W283"
"ukb-b-14639"	"Operative procedures - secondary OPCS: Y44.2 Monitoring of pressure in organ NOC"	463010	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"41210#Y442: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Binary"	"NA"	1333	461677	NA	"41210#Y442"
"ukb-b-11497"	"Operation code: tonsillectomy +/- adenoids"	462933	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"20004#1478: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Binary"	"NA"	72111	390822	NA	"20004#1478"
"ukb-b-14422"	"Operative procedures - main OPCS: L85.1 Ligation of long saphenous vein"	463010	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"41200#L851: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Binary"	"NA"	5294	457716	NA	"41200#L851"
"ukb-b-2482"	"Years since last cervical smear test"	192526	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"2704: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Categorical Ordered"	"NA"	NA	NA	NA	"2704"
"ukb-b-16943"	"Illnesses of siblings: Parkinson's disease"	361199	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"20111#11: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Binary"	"NA"	2005	359194	NA	"20111#11"
"ukb-b-4094"	"Length of mobile phone use"	456972	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"1110: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Categorical Ordered"	"NA"	NA	NA	NA	"1110"
"ukb-b-17952"	"Heel Broadband ultrasound attenuation (BUA), manual entry"	40613	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"3085: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Continuous"	"NA"	NA	NA	NA	"3085"
"ukb-b-1337"	"Ingredients in homemade soup: Vegetables"	64949	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"20109#5: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Binary"	"NA"	2925	62024	NA	"20109#5"
"ukb-b-15592"	"Operation code: varicose vein surgery"	462933	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"20004#1479: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Binary"	"NA"	18818	444115	NA	"20004#1479"
"ukb-b-5090"	"Astigmatism angle (left)"	99071	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"5089: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Continuous"	"NA"	NA	NA	NA	"5089"
"ukb-b-15555"	"Unsalted peanuts intake"	64949	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"102420: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Categorical Ordered"	"NA"	NA	NA	NA	"102420"
"ukb-b-1261"	"Diagnoses - main ICD10: Z08.0 Follow-up examination after surgery for malignant neoplasm"	463010	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"41202#Z080: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Binary"	"NA"	3005	460005	NA	"41202#Z080"
"ukb-b-1302"	"Treatment/medication code: sertraline"	462933	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"20003#1140867878: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Binary"	"NA"	1943	460990	NA	"20003#1140867878"
